	Dim1	Dim2	new_membership	class
Oligodendrocyte	25.196377	-73.802505	Oligodendrocyte	6
Astrocyte	34.467777	-39.159225	Astrocyte	1
OPC	10.586191	56.44481	OPC	5
microglia	-35.373875	-53.82537	Microglia	3
Neuron	21.619785	39.306057	Neuron	4
Vascular	52.480965	48.525272	Endothelial	2
1001000173.G8	58.34027	18.442385	9	8
1001000173.D4	39.117683	-66.20135	Oligodendrocyte	6
1001000173.B4	74.785095	4.770069	9	8
1001000173.A2	50.28918	-13.679544	9	8
1001000173.E2	55.042885	2.362047	9	8
1001000173.F6	45.057537	-7.641422	9	8
1001000173.B12	75.178734	15.511173	9	8
1001000173.D6	17.941843	67.489494	OPC	5
1001000173.H1	47.745667	25.086714	9	8
1001000173.E4	68.50067	18.980318	9	8
1001000173.B6	-40.459957	-40.18211	7	7
1001000173.C2	57.494453	-14.898228	9	8
1001000173.F4	64.21425	-11.202049	9	8
1001000173.E10	52.6948	-13.546955	9	8
1001000173.E6	50.011776	-13.512738	9	8
1001000173.C4	57.393665	16.4947	9	8
1001000173.B1	32.86161	-74.318436	Oligodendrocyte	6
1001000173.B10	46.65448	-9.756462	9	8
1001000173.A7	43.237106	3.5023212	9	8
1001000173.B8	51.611584	-10.745379	9	8
1001000173.F9	55.921143	-6.485353	9	8
1001000173.G6	53.08118	19.156532	9	8
1001000173.A9	67.30496	16.595695	9	8
1001000173.D2	66.52035	-10.665818	9	8
1001000173.F2	60.467113	13.610066	9	8
1001000173.H9	69.39288	16.962616	9	8
1001000173.G1	63.31596	10.009444	9	8
1001000173.B3	76.80554	-3.2852204	9	8
1001000173.D7	75.69903	14.014121	9	8
1001000173.A12	52.684757	-16.0983	9	8
1001000173.C1	68.426125	11.835276	9	8
1001000173.H7	54.62324	-14.890721	9	8
1001000173.H5	52.981266	-10.823659	9	8
1001000173.G2	63.977364	-10.537288	9	8
1001000173.A3	73.64192	11.63741	9	8
1001000173.D3	54.205986	-8.049592	9	8
1001000173.E1	81.3347	2.7202232	9	8
1001000173.G12	80.41744	3.95998	9	8
1001000173.C10	49.359848	-10.913738	9	8
1001000173.C3	53.81131	12.87821	9	8
1001000173.D11	-17.04767	-50.19564	Microglia	3
1001000173.A5	58.36841	-14.1662035	9	8
1001000173.G4	71.038994	7.563249	9	8
1001000173.B11	73.90816	11.820074	9	8
1001000173.G9	53.459763	-15.767706	9	8
1001000173.F1	52.848656	-13.394946	9	8
1001000173.D8	50.814465	25.454205	9	8
1001000173.E12	64.98782	0.7179835	9	8
1001000173.F11	67.200775	2.567193	9	8
1001000173.E5	75.05163	-2.5521405	9	8
1001000173.G10	45.505703	-5.260343	9	8
1001000173.B9	80.533745	1.6928322	9	8
1001000173.F8	-23.251282	-35.356586	Microglia	3
1001000173.C7	64.81313	16.25761	9	8
1001000173.B2	56.444916	-13.736814	9	8
1001000173.H4	62.183434	19.335785	9	8
1001000173.D1	-36.905228	-44.72268	7	7
1001000174.G5	76.2258	12.972637	9	8
1001000174.H9	54.046337	-16.61111	9	8
1001000174.H2	-32.55968	-51.415638	Microglia	3
1001000174.E12	24.44029	26.629515	8	9
1001000174.A10	53.403507	-9.908972	9	8
1001000174.G10	54.31004	12.386453	9	8
1001000174.C8	74.98735	15.288982	9	8
1001000174.F6	44.532444	-1.4146487	9	8
1001000174.B4	55.813377	15.750136	9	8
1001000174.H7	66.97913	8.681535	9	8
1001000174.E10	57.67316	19.385897	9	8
1001000174.D5	41.604904	13.934146	9	8
1001000174.E5	64.73599	16.374672	9	8
1001000174.B11	45.002953	-4.143491	9	8
1001000174.F10	56.908333	-12.885998	9	8
1001000174.A5	55.853165	-16.466679	9	8
1001000174.B8	58.921684	-14.350784	9	8
1001000174.F2	68.62131	12.716591	9	8
1001000174.F9	81.89321	0.056005597	9	8
1001000174.F4	58.597862	1.8923926	9	8
1001000174.C10	-33.13451	-46.690155	Microglia	3
1001000174.B6	69.55398	4.147853	9	8
1001000174.E2	64.17278	19.786612	9	8
1001000174.G2	42.738594	-1.3891977	9	8
1001000174.D8	47.440353	22.236526	9	8
1001000174.H6	71.61694	-5.346085	9	8
1001000174.C3	55.140198	-8.118499	9	8
1001000174.B7	60.382996	14.406461	9	8
1001000174.A7	53.988842	-15.4387245	9	8
1001000174.H10	70.502495	-8.09374	9	8
1001000174.F7	76.80383	16.392307	9	8
1001000174.A2	50.69225	-11.502982	9	8
1001000174.E4	56.33868	11.747984	9	8
1001000174.D12	57.816933	-15.46775	9	8
1001000174.H4	53.335186	-13.676712	9	8
1001000174.C5	64.37663	-3.679003	9	8
1001000174.E9	49.971542	-8.167619	9	8
1001000174.D1	75.81356	14.082557	9	8
1001000174.G4	64.11969	12.195066	9	8
1001000174.G9	77.296326	15.344975	9	8
1001000174.D4	74.18782	-3.3438835	9	8
1001000174.H11	70.20551	11.400972	9	8
1001000174.A9	68.06938	17.433426	9	8
1001000174.G12	-21.013605	-17.921759	7	7
1001000174.A4	66.01696	18.973219	9	8
1001000174.C7	71.62756	8.680703	9	8
1001000174.B12	55.171497	14.494662	9	8
1001000174.D11	56.98925	-18.138264	9	8
1001000174.B3	-13.446498	-28.3774	Microglia	3
1001000174.F5	69.70186	8.138316	9	8
1001000174.G6	73.43685	13.580359	9	8
1001000174.D6	41.74884	3.5632238	9	8
1001000174.H3	64.9857	19.792358	9	8
1001000174.F12	50.35134	-0.8779748	9	8
1001000174.E6	26.295385	22.758896	8	9
1001000174.G3	52.577473	-15.008593	9	8
1001000174.A8	70.59113	10.662023	9	8
1001000174.B10	51.31258	-9.314206	9	8
1001000174.C2	64.67757	-10.642104	9	8
1001000174.F1	72.89425	3.6781337	9	8
1001000174.F3	-14.215893	-52.978325	Microglia	3
1001000174.C11	69.81356	16.318491	9	8
1001000174.H8	42.794735	1.4331324	9	8
1001000174.H1	49.544067	-11.269217	9	8
1001000174.G8	59.337963	17.227705	9	8
1001000174.B5	56.13091	-12.865476	9	8
1001000174.E11	42.012985	-7.061242	9	8
1001000174.E8	56.729275	17.327406	9	8
1001000174.F11	61.526554	15.897257	9	8
1001000174.A1	42.53281	0.24503495	9	8
1001000174.E7	65.38831	1.0454159	9	8
1001000174.B1	68.15492	8.5102	9	8
1001000174.C12	42.344303	1.002365	9	8
1001000174.C9	75.652565	9.811632	9	8
1001000174.D7	51.556484	-12.086845	9	8
1001000174.D2	62.71564	-9.20881	9	8
1001000174.C4	75.70457	14.313777	9	8
1001000174.F8	73.18371	11.7599535	9	8
1001000174.D10	72.55676	-4.628133	9	8
1001000174.G11	62.799946	-8.74095	9	8
1001000174.A3	67.854866	15.445016	9	8
1001000174.E3	79.88345	0.14710034	9	8
1001000174.H5	48.125217	-8.004865	9	8
1001000174.C6	26.305254	23.224932	8	9
1001000174.D3	58.87193	15.962951	9	8
1001000174.D9	66.14873	19.413418	9	8
1001000175.E1	49.446087	-9.403158	9	8
1001000175.A3	64.75759	0.7030384	9	8
1001000175.H2	41.811832	3.1904705	9	8
1001000175.C11	66.75142	17.976452	9	8
1001000175.D9	-33.654114	29.773792	7	7
1001000175.G12	43.15332	4.334741	9	8
1001000175.F3	69.53283	8.029023	9	8
1001000175.B9	48.709915	-8.829232	9	8
1001000175.H4	63.41934	11.830376	9	8
1001000175.G2	53.773083	19.453844	8	9
1001000175.H9	24.59575	29.138863	8	9
1001000175.G11	48.830322	-5.386272	9	8
1001000175.B4	69.464584	19.226692	9	8
1001000175.D2	66.44195	12.52958	9	8
1001000175.C1	57.35915	16.95393	9	8
1001000175.G7	75.7619	7.1365676	9	8
1001000175.E8	58.694237	18.575644	9	8
1001000175.F6	52.439083	-12.212294	9	8
1001000175.H6	46.357037	-5.0904546	9	8
1001000175.H11	43.66392	2.9927685	9	8
1001000175.C7	68.9525	-8.0693	9	8
1001000175.A11	77.50066	-2.4037488	9	8
1001000175.G8	50.509056	-0.9517946	9	8
1001000175.A7	66.46663	0.2273846	9	8
1001000175.H5	56.159985	4.5957265	9	8
1001000175.F8	56.556335	-6.8644776	9	8
1001000175.D12	71.04666	13.842556	9	8
1001000175.A5	59.115383	19.955223	9	8
1001000175.D4	56.944683	2.5608351	9	8
1001000175.B6	58.02965	48.670776	Endothelial	2
1001000175.D10	42.871227	4.324249	9	8
1001000175.A9	55.70306	4.4888954	9	8
1001000175.H7	65.13289	10.234448	9	8
1001000175.G6	-26.052002	-32.172287	7	7
1001000175.B8	13.680385	67.12854	OPC	5
1001000175.B1	56.394386	-15.195065	9	8
1001000175.D5	51.411224	-13.869155	9	8
1001000175.C5	63.84626	17.5295	9	8
1001000175.B12	61.496338	16.475132	9	8
1001000175.E3	51.54832	-13.082803	9	8
1001000175.F11	56.574856	-7.021813	9	8
1001000175.G9	-28.74914	-47.296375	Microglia	3
1001000175.G4	57.688744	2.9262526	9	8
1001000175.C4	66.71603	16.595407	9	8
1001000175.F9	74.224075	1.8821878	9	8
1001000175.E7	61.865635	-10.320603	9	8
1001000175.A10	-60.81209	24.112127	7	7
1001000175.E4	76.14461	15.332316	9	8
1001000175.B3	-24.751839	-35.782803	Microglia	3
1001000175.G1	45.152615	-4.6320386	9	8
1001000175.A2	-24.329714	-35.62139	7	7
1001000175.H1	32.417065	-74.63143	Oligodendrocyte	6
1001000175.E11	-52.34017	-22.808424	7	7
1001000175.B10	75.6239	-1.3161182	9	8
1001000175.C10	44.189373	1.3916005	9	8
1001000175.B5	75.55253	10.191977	9	8
1001000175.D1	67.15948	9.316201	9	8
1001000175.C2	59.187355	17.717937	9	8
1001000175.F4	56.47206	15.402447	9	8
1001000175.E2	41.318775	-3.0412235	8	9
1001000175.H3	41.156563	1.2863467	9	8
1001000175.A4	76.69909	4.524574	9	8
1001000175.C12	56.04387	11.955156	9	8
1001000175.G10	40.96014	13.580754	Endothelial	2
1001000175.F2	66.05634	-9.21719	9	8
1001000175.D11	44.207706	-7.795535	9	8
1001000175.F5	41.489143	1.5834467	9	8
1001000175.C8	48.74555	-12.081711	9	8
1001000175.F12	43.54648	-5.20189	8	9
1001000175.B7	-64.37385	-9.162628	7	7
1001000175.D3	49.26421	-10.996105	9	8
1001000175.C9	56.549126	-7.3582807	9	8
1001000175.D6	76.46168	4.5247545	9	8
1001000175.E6	55.37085	2.7752998	9	8
1001000175.A6	68.28938	6.2849503	9	8
1001000175.H8	42.94033	-1.2861304	9	8
1001000175.B2	74.52261	2.0677757	9	8
1001000175.B11	67.25716	14.613272	9	8
1001000175.E10	58.554413	1.3295345	9	8
1001000175.D8	57.921772	16.858076	9	8
1001000175.F10	61.2043	-9.2043915	9	8
1001000175.E9	51.266277	-12.139118	9	8
1001000175.F7	67.34446	13.282799	9	8
1001000175.G3	65.17956	-9.390825	9	8
1001000175.C6	62.74267	18.7807	9	8
1001000175.E12	59.173958	-13.281585	9	8
1001000175.A12	41.000645	0.4590487	9	8
1001000175.A1	-25.389637	-33.442783	7	7
1001000175.A8	66.24033	12.636496	9	8
1001000176.A7	-71.93602	-3.2294908	7	7
1001000176.B9	-35.4531	-44.64337	7	7
1001000176.D9	-32.989178	-46.61395	Microglia	3
1001000176.G5	-37.74127	-39.855732	7	7
1001000176.H3	-51.66507	-8.628625	7	7
1001000176.A9	-68.78069	-5.023143	7	7
1001000176.G2	-22.72346	-4.030316	7	7
1001000176.F10	-51.679207	27.21508	7	7
1001000176.F1	-52.326412	28.074997	7	7
1001000176.D7	-53.679684	-3.5119247	7	7
1001000176.C9	-55.086926	-4.883341	7	7
1001000176.B7	-13.156953	-51.952545	Microglia	3
1001000176.A5	-31.631952	-40.721294	Microglia	3
1001000176.D4	-58.73072	10.619727	7	7
1001000176.F2	-67.84084	-4.501141	7	7
1001000176.A10	-61.603977	-8.577769	7	7
1001000176.C2	-39.551685	-40.88134	7	7
1001000176.G11	-69.04796	20.633045	7	7
1001000176.E8	-70.146774	-4.598165	7	7
1001000176.F12	-53.549503	30.602512	7	7
1001000176.E11	-53.84089	-0.2673044	7	7
1001000176.E3	-61.989166	24.465988	7	7
