	tsne1	tsne2	cellType	cellID
0	-9.187174	-22.436829	acinar	
1	-8.116251	-22.392437	acinar	
2	-8.218428	-22.689045	acinar	
3	-7.9483247	-22.793028	acinar	
4	-8.124732	-22.396675	acinar	
5	-7.899234	-22.425068	acinar	
6	-7.962395	-22.797935	acinar	
7	-8.132289	-22.400917	acinar	
8	-8.218429	-22.689043	acinar	
9	-7.9805856	-22.8022	acinar	
10	-8.218428	-22.689045	acinar	
11	-7.9483247	-22.793028	acinar	
12	-7.8491664	-22.483212	acinar	
13	-8.132269	-22.400906	acinar	
14	-7.9081435	-22.419239	acinar	
15	-7.9310837	-22.785263	acinar	
16	-7.819199	-22.58137	acinar	
17	-8.124725	-22.396671	acinar	
18	-7.706194	-22.649103	acinar	
19	-8.220818	-22.683876	acinar	
20	-10.054092	1.5837234	beta	
21	-10.054092	1.5837234	beta	
22	-10.054092	1.5837234	beta	
23	-10.054092	1.5837234	beta	
24	-10.054084	1.5837235	beta	
25	-10.054084	1.5837233	beta	
26	-10.054084	1.5837235	beta	
27	-10.499671	2.4968376	beta	
28	-10.054097	1.5837234	beta	
29	-10.054097	1.5837234	beta	
30	-10.054097	1.5837234	beta	
31	-10.054097	1.5837234	beta	
32	-10.054097	1.5837234	beta	
33	-10.054097	1.5837234	beta	
34	-10.054097	1.5837234	beta	
35	-10.054084	1.5837235	beta	
36	-10.054084	1.5837235	beta	
37	-9.971887	1.4080284	beta	
38	-10.054097	1.5837233	beta	
39	-10.054097	1.5837233	beta	
40	-25.302336	-20.070032	delta	
41	-25.302336	-20.070032	delta	
42	-25.302336	-20.070032	delta	
43	-25.302336	-20.070032	delta	
44	-25.311485	-20.012875	delta	
45	-24.28545	-19.806583	delta	
46	-25.311485	-20.012875	delta	
47	-25.311485	-20.012875	delta	
48	-25.311485	-20.012875	delta	
49	-25.311485	-20.012875	delta	
50	-25.54311	-20.089008	delta	
51	-25.311485	-20.012875	delta	
52	-25.311485	-20.012875	delta	
53	-25.311485	-20.012875	delta	
54	-25.311485	-20.012875	delta	
55	-25.311485	-20.012875	delta	
56	-25.311485	-20.012875	delta	
57	-25.302336	-20.07008	delta	
58	-25.311485	-20.012875	delta	
59	-25.311485	-20.012875	delta	
60	-44.975384	-3.0715775	activated stellate	
61	-45.082043	-2.6751769	activated stellate	
62	-45.020977	-2.665624	activated stellate	
63	-45.082024	-2.6751697	activated stellate	
64	-44.808796	-2.9160163	activated stellate	
65	-44.97167	-3.0667832	activated stellate	
66	-45.082043	-2.675177	activated stellate	
67	-44.80828	-2.9131477	activated stellate	
68	-45.206898	-2.9027317	activated stellate	
69	-45.263096	-3.0664487	activated stellate	
70	-44.071476	-2.2270515	activated stellate	
71	-44.975452	-3.071589	activated stellate	
